oferta	modalidad	administracion	examen	clasificacion	fecha_examen	pregunta	numRespuesta	texto	correcta
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Podría el Director General competente en materia de Protección Ambiental firmar por delegación de firma una multa que, en atención a su cuantía, corresponde imponer al Consejo de Gobierno?	1	No, porque la delegación de firma no es admisible en las resoluciones de carácter sancionador.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Podría el Director General competente en materia de Protección Ambiental firmar por delegación de firma una multa que, en atención a su cuantía, corresponde imponer al Consejo de Gobierno?	2	Sí, porque se trata de órganos jerárquicamente dependientes.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Podría el Director General competente en materia de Protección Ambiental firmar por delegación de firma una multa que, en atención a su cuantía, corresponde imponer al Consejo de Gobierno?	3	Sí, basta con que el Consejo de Gobierno adopte el acuerdo de delegación de firma con rango de Decreto.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se deniega una licencia de obras,	1	Debe ser motivado pues restringe derechos subjetivos e intereses legítimos.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se deniega una licencia de obras,	2	No debe motivarse, pues se dicta en ejercicio de potestades discrecionales.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se deniega una licencia de obras,	3	No debe motivarse, pues no hay ninguna norma legal o reglamentaria que así lo disponga de manera expresa.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El incumplimiento de las normas del procedimiento administrativo	1	Genera siempre la nulidad del acto.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El incumplimiento de las normas del procedimiento administrativo	2	Conlleva en todo caso la mera anulabilidad del acto.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El incumplimiento de las normas del procedimiento administrativo	3	En ocasiones puede generar la mera anulabilidad y en otras la nulidad de pleno derecho.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se concede una subvención establecida para fomentar el cultivo del algodón a un ganadero, que pasa por una delicada situación económica derivada de los bajos precios en origen de la carne de cerdo, y con el fin de ayudarle a pagar la hipoteca que grava su casa,	1	Es un supuesto de fraude procesal.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se concede una subvención establecida para fomentar el cultivo del algodón a un ganadero, que pasa por una delicada situación económica derivada de los bajos precios en origen de la carne de cerdo, y con el fin de ayudarle a pagar la hipoteca que grava su casa,	2	Incurre en desviación de poder.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se concede una subvención establecida para fomentar el cultivo del algodón a un ganadero, que pasa por una delicada situación económica derivada de los bajos precios en origen de la carne de cerdo, y con el fin de ayudarle a pagar la hipoteca que grava su casa,	3	Es un acto totalmente válido, pues independientemente del fin con el que originalmente se concibe la subvención, el fin al que se destina es también acorde con el interés público.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Se considera que una resolución está motivada cuando	1	Contiene una completa y exhaustiva exposición de los hechos y razonamientos jurídicos que le sirven de fundamento.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Se considera que una resolución está motivada cuando	2	Contiene un completo relato fáctico y un pronunciamiento claro y preciso sobre la pretensión formulada por el interesado.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Se considera que una resolución está motivada cuando	3	Expresa los hechos y fundamentos jurídicos de forma sucinta pero suficiente para poder deducir que la resolución adoptada era la que procedía en derecho y no otra.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se amplía en 15 días el plazo que tiene la Administración para resolver un procedimiento próximo a caducar	1	No debe ser motivado, porque de conformidad con el artículo 49.3 LPAC, dicho acuerdo de ampliación no es susceptible de recurso.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se amplía en 15 días el plazo que tiene la Administración para resolver un procedimiento próximo a caducar	2	Sí debe motivarse, por así disponerlo el artículo 54 LPAC.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se amplía en 15 días el plazo que tiene la Administración para resolver un procedimiento próximo a caducar	3	No es necesario motivarlo, porque no afecta a derechos o intereses legítimos.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Procedimiento y expediente	1	Son términos sinónimos.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Procedimiento y expediente	2	No designan la misma realidad, pues mientras el primero es el conjunto ordenado de documentos que integran el expediente, éste constituye el cauce formal a través del cual se producen los actos administrativos.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Procedimiento y expediente	3	Son términos íntimamente relacionados, aunque diferentes, pues el expediente constituye la plasmación documental del cauce formal de la actuación administrativa que es el procedimiento.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Los actos administrativos se producirán	1	Siempre por escrito.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Los actos administrativos se producirán	2	Por escrito a menos que su naturaleza exija o permita otra forma más adecuada de expresión y constancia.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Los actos administrativos se producirán	3	Normalmente por escrito, si bien puede utilizarse otra forma de expresión o constancia, quedando a la libre decisión del funcionario actuante su utilización.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Cuando los órganos administrativos ejerzan su competencia de forma verbal, la constancia escrita del acto,	1	Se efectuará y firmará por el titular del órgano inferior o funcionario que la reciba oralmente, expresando en la comunicación del mismo la autoridad de la que procede.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Cuando los órganos administrativos ejerzan su competencia de forma verbal, la constancia escrita del acto,	2	Se llevará a cabo por el órgano que dicta la orden.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Cuando los órganos administrativos ejerzan su competencia de forma verbal, la constancia escrita del acto,	3	No precisará de trámite adicional alguno.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La Administración está obligada a dictar resolución expresa	1	En todos los procedimientos, sin excepción.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La Administración está obligada a dictar resolución expresa	2	En los procedimientos iniciados a instancia de parte y, en los iniciados de oficio, sólo si la cuestión entraña interés general.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La Administración está obligada a dictar resolución expresa	3	En todos los procedimientos, excepto cuando la Administración y el interesado ponen fin al procedimiento de mutuo acuerdo o se trata de procedimientos relativos al ejercicio de derechos sometidos únicamente al deber de comunicación previa a la Administración.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El plazo máximo en el que debe notificarse la resolución expresa	1	Es siempre de seis meses.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El plazo máximo en el que debe notificarse la resolución expresa	2	No puede exceder de tres meses.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El plazo máximo en el que debe notificarse la resolución expresa	3	Será el fijado por la norma reguladora del correspondiente procedimiento o, en su defecto, de tres meses.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Tras advertir la Administración que, como consecuencia de un error, en un Hospital se ha amputado una pierna sana a un paciente, decide incoar de oficio un procedimiento de responsabilidad patrimonial para resarcirle del daño ocasionado. El acuerdo de iniciación se adopta el 24 de febrero de 2008 y se procede a dar trámite de audiencia al interesado, que presenta sus alegaciones el 30 de marzo siguiente. ¿Desde cuándo se computa el plazo máximo para resolver el procedimiento?	1	Desde la fecha del acuerdo de iniciación del procedimiento.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Tras advertir la Administración que, como consecuencia de un error, en un Hospital se ha amputado una pierna sana a un paciente, decide incoar de oficio un procedimiento de responsabilidad patrimonial para resarcirle del daño ocasionado. El acuerdo de iniciación se adopta el 24 de febrero de 2008 y se procede a dar trámite de audiencia al interesado, que presenta sus alegaciones el 30 de marzo siguiente. ¿Desde cuándo se computa el plazo máximo para resolver el procedimiento?	2	Desde que las alegaciones tienen entrada en el registro del Servicio Murciano de Salud.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Tras advertir la Administración que, como consecuencia de un error, en un Hospital se ha amputado una pierna sana a un paciente, decide incoar de oficio un procedimiento de responsabilidad patrimonial para resarcirle del daño ocasionado. El acuerdo de iniciación se adopta el 24 de febrero de 2008 y se procede a dar trámite de audiencia al interesado, que presenta sus alegaciones el 30 de marzo siguiente. ¿Desde cuándo se computa el plazo máximo para resolver el procedimiento?	3	Desde el día siguiente a la notificación del trámite de audiencia.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Interpuesto recurso de alzada contra la resolución del Tribunal Calificador de unas pruebas selectivas, el Servicio de Régimen Jurídico de la Secretaría Autonómica de Administración Pública considera conveniente, antes de resolver, conocer la postura del Tribunal, por lo que solicita informe a su Presidente. ¿Puede suspender el plazo para resolver hasta que le sea remitido el informe?	1	Sí, aunque no podrá suspenderlo por más de 10 días.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Interpuesto recurso de alzada contra la resolución del Tribunal Calificador de unas pruebas selectivas, el Servicio de Régimen Jurídico de la Secretaría Autonómica de Administración Pública considera conveniente, antes de resolver, conocer la postura del Tribunal, por lo que solicita informe a su Presidente. ¿Puede suspender el plazo para resolver hasta que le sea remitido el informe?	2	No, porque se trata de un informe facultativo, y sólo puede suspenderse el plazo cuando se soliciten informes preceptivos y determinantes.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Interpuesto recurso de alzada contra la resolución del Tribunal Calificador de unas pruebas selectivas, el Servicio de Régimen Jurídico de la Secretaría Autonómica de Administración Pública considera conveniente, antes de resolver, conocer la postura del Tribunal, por lo que solicita informe a su Presidente. ¿Puede suspender el plazo para resolver hasta que le sea remitido el informe?	3	Sí puede suspender, aunque por un plazo máximo de tres meses.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Un ciudadano presenta en el Registro de la Delegación del Gobierno en Murcia una solicitud dirigida a la Consejería de Agricultura y Agua para que se le autorice una ampliación de las instalaciones de una explotación cunícola que posee. ¿Cuándo empieza a computarse el plazo máximo para resolver y notificar la solicitud?	1	Desde que la solicitud se presenta en el Registro de la Delegación del Gobierno.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Un ciudadano presenta en el Registro de la Delegación del Gobierno en Murcia una solicitud dirigida a la Consejería de Agricultura y Agua para que se le autorice una ampliación de las instalaciones de una explotación cunícola que posee. ¿Cuándo empieza a computarse el plazo máximo para resolver y notificar la solicitud?	2	Desde que la solicitud llega al Servicio de Explotaciones Ganaderas.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Un ciudadano presenta en el Registro de la Delegación del Gobierno en Murcia una solicitud dirigida a la Consejería de Agricultura y Agua para que se le autorice una ampliación de las instalaciones de una explotación cunícola que posee. ¿Cuándo empieza a computarse el plazo máximo para resolver y notificar la solicitud?	3	Desde que la solicitud tiene entrada en el Registro de la Consejería de Agricultura y Agua.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, cuyo plazo máximo de resolución es de seis meses, el instructor se da cuenta de que está próximo a vencer el plazo y que no puede resolver porque aún quedan varias actuaciones instructoras que realizar, que estima no podrán realizarse antes de siete meses. ¿Puede ampliar siete meses más el plazo para resolver y notificar?	1	No, porque la ampliación del plazo no puede ser superior al plazo establecido para la tramitación del procedimiento.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, cuyo plazo máximo de resolución es de seis meses, el instructor se da cuenta de que está próximo a vencer el plazo y que no puede resolver porque aún quedan varias actuaciones instructoras que realizar, que estima no podrán realizarse antes de siete meses. ¿Puede ampliar siete meses más el plazo para resolver y notificar?	2	No es posible su ampliación.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, cuyo plazo máximo de resolución es de seis meses, el instructor se da cuenta de que está próximo a vencer el plazo y que no puede resolver porque aún quedan varias actuaciones instructoras que realizar, que estima no podrán realizarse antes de siete meses. ¿Puede ampliar siete meses más el plazo para resolver y notificar?	3	Sí, el órgano instructor puede ampliarlo libremente.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, si transcurrido el plazo máximo para resolver, el ganadero no ha recibido la notificación de la resolución, puede considerar su petición	1	Estimada por silencio administrativo.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, si transcurrido el plazo máximo para resolver, el ganadero no ha recibido la notificación de la resolución, puede considerar su petición	2	Desestimada, porque se trata de un supuesto de ejercicio del derecho de petición.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, si transcurrido el plazo máximo para resolver, el ganadero no ha recibido la notificación de la resolución, puede considerar su petición	3	Desestimada, porque de estimarse se transferirían al interesado facultades relativas al dominio público.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, si consideramos que el silencio es positivo, una vez transcurrido el plazo máximo para resolver y notificar ¿puede la Administración desestimar la solicitud de autorización?	1	Sí, puede estimar o desestimar la pretensión, indistintamente.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, si consideramos que el silencio es positivo, una vez transcurrido el plazo máximo para resolver y notificar ¿puede la Administración desestimar la solicitud de autorización?	2	No, la resolución posterior sólo podrá ser confirmatoria de la estimación ya producida por silencio.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, si consideramos que el silencio es positivo, una vez transcurrido el plazo máximo para resolver y notificar ¿puede la Administración desestimar la solicitud de autorización?	3	Sí, de hecho, está obligada a hacerlo si el ganadero no tuviera derecho a la ampliación autorizada por silencio.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Y si el silencio fuera negativo?	1	Puede resolver expresamente o no, porque la desestimación ya se habría producido por silencio, no siendo necesario dictar una resolución expresa.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Y si el silencio fuera negativo?	2	Debe resolver desestimando la solicitud.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Y si el silencio fuera negativo?	3	Debe dictar una resolución expresa, estimando o desestimando la solicitud, según proceda en Derecho y sin vinculación alguna al sentido del silencio.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El Ayuntamiento pretende imponer una multa al propietario de un local de copas que incumple la ordenanza de horarios, por cerrar después de la hora establecida. Al ir a resolver, el instructor advierte que ya ha transcurrido el plazo máximo para resolver y notificar ¿Cuál de las siguientes actuaciones procede?	1	Declarar la caducidad del procedimiento sancionador y ordenar el archivo de las actuaciones.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El Ayuntamiento pretende imponer una multa al propietario de un local de copas que incumple la ordenanza de horarios, por cerrar después de la hora establecida. Al ir a resolver, el instructor advierte que ya ha transcurrido el plazo máximo para resolver y notificar ¿Cuál de las siguientes actuaciones procede?	2	Imponer la sanción, porque la resolución expresa convalida la caducidad.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El Ayuntamiento pretende imponer una multa al propietario de un local de copas que incumple la ordenanza de horarios, por cerrar después de la hora establecida. Al ir a resolver, el instructor advierte que ya ha transcurrido el plazo máximo para resolver y notificar ¿Cuál de las siguientes actuaciones procede?	3	Ordenar el archivo de las actuaciones, sin más trámite.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Son causas de nulidad	1	Cualquier infracción del ordenamiento jurídico, incluida la desviación de poder.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Son causas de nulidad	2	Las previstas en el artículo 62 LPAC.. Nuevo ==> Articulo 47 de la ley 39/2015	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Son causas de nulidad	3	Cualquier infracción del ordenamiento jurídico susceptible de producir indefensión.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se impone a un funcionario de la Dirección General Carreteras una sanción por enviar a un periódico una carta de opinión en la que critica la gestión del Ayuntamiento de Murcia en materia de festejos, es	1	Nulo de pleno derecho, por lesionar su derecho a la libertad de expresión.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se impone a un funcionario de la Dirección General Carreteras una sanción por enviar a un periódico una carta de opinión en la que critica la gestión del Ayuntamiento de Murcia en materia de festejos, es	2	Anulable.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que se impone a un funcionario de la Dirección General Carreteras una sanción por enviar a un periódico una carta de opinión en la que critica la gestión del Ayuntamiento de Murcia en materia de festejos, es	3	Meramente irregular, pero válido.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La autorización para ejercer la actividad de restauración, que debe ser otorgada por el Consejero competente en materia de Turismo, lo es por el Director General de Infraestructuras Turísticas, que depende de aquel. La autorización concedida sería	1	Nula de pleno derecho.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La autorización para ejercer la actividad de restauración, que debe ser otorgada por el Consejero competente en materia de Turismo, lo es por el Director General de Infraestructuras Turísticas, que depende de aquel. La autorización concedida sería	2	Anulable.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La autorización para ejercer la actividad de restauración, que debe ser otorgada por el Consejero competente en materia de Turismo, lo es por el Director General de Infraestructuras Turísticas, que depende de aquel. La autorización concedida sería	3	Nula, por haber sido dictada por órgano manifiestamente incompetente por razón de la jerarquía.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que, sin más trámites y al amparo del artículo 105 LPAC, se revoca el nombramiento de un funcionario, es	1	Nulo, por tener un contenido imposible, en la medida en que el ordenamiento jurídico no prevé la posibilidad de dejar sin efecto un nombramiento ya efectuado.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que, sin más trámites y al amparo del artículo 105 LPAC, se revoca el nombramiento de un funcionario, es	2	Anulable, porque se produce una infracción del ordenamiento jurídico que sume en indefensión al funcionario.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	El acto por el que, sin más trámites y al amparo del artículo 105 LPAC, se revoca el nombramiento de un funcionario, es	3	Nulo por prescindir total y absolutamente del procedimiento legalmente establecido, ya que el nombramiento es un acto favorable que debía haber sido dejado sin efectos por medio de la revisión de oficio.	Yes
